"Station ID","Station Name","Tier","Sponsor","Installation Date","Data Quality Review Date","Latitude","Longitude","Station Elevation (ft)","County","State","Air Temperature Probe","Second (additional) Air Temperature Probe","Relative Humidity Probe","Rainfall Sensor","Second (additional) Rainfall Sensor","Wind Speed Sensor","Wind Direction Sensor","Leaf Wetness Sensor","Pyranometer","Soil Temperature Probe at 2 inch depth","Soil Temperature Probe at 8 inch depth","Soil Moisture Probe at 8 inch depth","Barometric Pressure Sensor","Station Zone"
"100023","Ferndale","Tier 2","Whatcom Conservation District","2019-10-30","2019-10-31","48.82","122.60","13","Whatcom","WA","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","N","Y","1"
"100024","Van.Zandt","Tier 2","Whatcom Conservation District","2019-10-31","2019-11-01","48.76","122.20","249","Whatcom","WA","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","N","Y","1"
"100025","Pasco.NW","Tier 1","WSU AgWeatherNet","2008-04-16","2008-04-16","46.38","119.25","830","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"100026","Lynden.NE","Tier 2","Whatcom Conservation District","2019-11-01","2019-11-01","48.99","122.37","144","Whatcom","WA","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","N","Y","1"
"100027","Lynden.N","Tier 2","Whatcom Conservation District","2019-11-01","2019-11-01","48.98","122.43","125","Whatcom","WA","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","N","Y","1"
"100028","Lewiston.E*","Tier 3","Boise State University","2019-03-21","2019-03-21","46.37","116.87","1765","Nez Perce","ID","Y","N","Y","N","N","Y","Y","N","Y","N","N","N","Y","5"
"100029","Twin.Lakes","Tier 2","WSU AgWeatherNet","2019-11-15","2019-11-15","48.44","120.18","1865","Okanogan","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","2"
"100030","Sundale","Tier 2","WSU AgWeatherNet","2019-12-09","2019-12-09","45.73","120.35","977","","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","3"
"100031","McNary","Tier 1","WSU AgWeatherNet","1992-05-12","2008-01-01","45.97","119.26","753","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100037","Coffin","Tier 1","WSU AgWeatherNet","1992-05-12","2007-09-01","46.04","119.31","1218","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100039","TripleS","Tier 1","WSU AgWeatherNet","2001-08-08","2008-01-01","46.21","119.50","1491","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100052","Corvallis*","Tier 3","USDA-ARS","2008-05-14","2008-05-15","44.57","123.24","210","Linn","OR","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","5"
"100053","Silverton*","Tier 3","USDA-ARS","2008-05-11","2008-05-11","45.04","122.78","198","Marion","OR","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","5"
"100054","Colton.S","Tier 2","WSU Variety Trial Program","2020-04-27","2020-04-28","46.56","117.12","2595","Whitman","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","4"
"100055","Carlton.S","Tier 2","WSU AgWeatherNet","2020-04-24","2020-04-25","48.20","120.12","1351","Okanogan","WA","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","2"
"100059","Carlson","Tier 1","WSU AgWeatherNet","1989-04-24","2008-01-01","46.14","119.46","1494","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100062","Paterson.E","Tier 1","WSU AgWeatherNet","1990-05-11","1990-05-12","45.94","119.49","424","Benton","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","3"
"100064","Horse.Hvn","Tier 1","WSU AgWeatherNet","1992-04-24","2007-01-01","46.05","119.41","1200","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100065","Wheelhouse","Tier 1","WSU AgWeatherNet","1992-04-24","1992-04-24","46.03","119.53","884","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100066","Plymouth","Tier 1","WSU AgWeatherNet","1993-03-18","2006-09-29","45.97","119.46","600","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100067","Fourmile","Tier 1","WSU AgWeatherNet","1993-03-18","2008-01-01","45.99","119.32","723","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100069","FishHook","Tier 1","WSU AgWeatherNet","1992-05-07","2008-01-01","46.29","118.74","772","Walla Walla","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100071","K2H","Tier 1","WSU AgWeatherNet","1992-05-07","2007-01-01","46.29","118.64","1119","Walla Walla","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100113","Finley","Tier 1","WSU AgWeatherNet","1992-06-02","2008-01-01","46.14","119.06","495","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100114","Benton.E","Tier 1","WSU AgWeatherNet","1995-07-14","1995-07-01","46.28","119.45","682","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"100125","Whitcomb","Tier 1","WSU AgWeatherNet","2007-08-21","2007-08-21","45.86","119.76","300","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100128","Touchet","Tier 1","WSU AgWeatherNet","1989-08-04","2007-01-01","46.02","118.68","551","Walla Walla","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100129","Horrigan","Tier 1","WSU AgWeatherNet","1989-04-26","2008-05-01","46.08","119.77","947","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100134","Eby","Tier 1","WSU AgWeatherNet","1989-05-17","1989-05-17","46.07","119.08","1519","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100139","Gramling","Tier 1","WSU AgWeatherNet","1989-04-26","2008-05-03","46.12","119.22","1340","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100140","100Circles","Tier 1","WSU AgWeatherNet","2000-06-21","2008-01-01","45.93","119.81","499","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"100147","Pasco","Tier 1","WSU AgWeatherNet","1995-06-21","2007-02-12","46.25","119.13","404","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"100148","Richland.N","Tier 1","WSU AgWeatherNet","1995-06-13","2000-09-20","46.33","119.27","379","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","3"
"100161","Benton.W","Tier 1","WSU AgWeatherNet","2006-06-16","2007-01-18","46.30","119.57","929","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"100172","Big.Flat","Tier 1","WSU AgWeatherNet","2006-12-06","2008-01-01","46.36","118.80","822","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"110023","Canoe.Rdg","Tier 1","WSU AgWeatherNet","2008-02-21","2008-02-22","45.88","119.76","903","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"110029","Prosser.NE","Tier 1","WSU AgWeatherNet","2002-07-05","2007-01-01","46.25","119.74","827","Benton","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","3"
"131034","St.Andrews","Tier 1","WSU AgWeatherNet","2008-12-01","2008-12-02","47.65","119.42","2380","Douglas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"300021","Ringold","Tier 1","WSU AgWeatherNet","2007-09-18","2009-01-01","46.48","119.18","875","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300023","Smith.Cyn","Tier 1","WSU AgWeatherNet","2008-03-20","2008-03-20","46.28","118.99","514","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300026","Paterson.W","Tier 1","WSU AgWeatherNet","2008-03-31","2008-03-31","45.94","119.66","591","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300027","Badger.Cyn","Tier 1","WSU AgWeatherNet","2008-04-18","2008-04-18","46.18","119.28","660","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300028","Lind","Tier 1","WSU AgWeatherNet","2008-01-22","2008-02-01","47.00","118.57","1610","Adams","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","2"
"300029","Pullman.S","Tier 1","WSU AgWeatherNet","2008-01-15","2008-01-15","46.70","117.15","2493","Whitman","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","4"
"300030","Ritzville","Tier 1","WSU AgWeatherNet","2008-01-30","2008-01-30","47.14","118.47","1815","Adams","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"300031","Alder.Rdg","Tier 1","WSU AgWeatherNet","2016-02-19","2016-02-19","45.85","119.89","690","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"300032","Anatone","Tier 1","WSU AgWeatherNet","2008-02-13","2008-02-13","46.20","117.11","3101","Asotin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","4"
"300034","Huntsville","Tier 1","WSU AgWeatherNet","2009-04-21","2009-04-21","46.31","118.12","1941","Columbia","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","4"
"300038","Wallula.S","Tier 1","WSU AgWeatherNet","2008-10-30","2008-10-30","46.08","118.91","383","Walla Walla","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300043","St.John","Tier 1","WSU AgWeatherNet","2008-10-08","2008-10-08","47.08","117.59","2212","Whitman","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","4"
"300045","Roza","Tier 1","WSU AgWeatherNet","1989-04-25","1989-04-25","46.29","119.73","1180","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300046","Connell.N","Tier 1","WSU AgWeatherNet","2008-03-07","2008-03-07","46.71","118.91","1120","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"300047","Mesa.SE","Tier 1","WSU AgWeatherNet","2008-03-27","2008-03-27","46.53","119.00","765","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300048","Green.Blff","Tier 1","WSU AgWeatherNet","2009-05-29","2009-05-29","47.81","117.30","2385","Spokane","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","4"
"300068","Chucker","Tier 1","WSU AgWeatherNet","2009-04-02","2009-04-02","45.97","119.08","935","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300070","Welland","Tier 1","WSU AgWeatherNet","1992-07-07","2006-01-01","46.22","118.73","956","Walla Walla","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300079","Juniper","Tier 1","WSU AgWeatherNet","2008-07-18","2008-07-19","46.38","119.01","695","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300093","Grandview","Tier 1","This station was made possible through the generous financial support provided by the Washington State Concord Grape Research Council.","2012-08-30","2012-08-30","46.27","119.85","972","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","3"
"300116","Basin.City","Tier 1","WSU AgWeatherNet","1989-03-28","2008-03-28","46.65","119.16","815","Franklin","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"300117","McClure","Tier 1","WSU AgWeatherNet","1989-04-26","2008-01-01","46.38","119.72","2425","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300118","McWhorter","Tier 1","WSU AgWeatherNet","1989-04-25","2000-01-01","46.32","119.62","1401","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300122","Othello","Tier 1","WSU AgWeatherNet","1989-03-28","2007-02-16","46.79","119.04","1180","Adams","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"300130","WallaWalla","Tier 1","WSU AgWeatherNet","1992-07-22","1992-07-22","46.08","118.27","1178","Walla Walla","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","3"
"300132","Hatton","Tier 1","WSU AgWeatherNet","2008-03-07","2008-03-08","46.79","118.86","1290","Adams","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"300133","College.Pl","Tier 1","WSU AgWeatherNet","1992-04-28","2007-01-01","46.03","118.40","738","Walla Walla","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"300143","Washtucna","Tier 1","WSU AgWeatherNet","2015-11-16","2015-12-10","46.78","118.52","1482","Adams","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","4"
"300201","LaCrosse","Tier 1","This station was made possible through the generous financial support provided by the Washington Grain Commission.","2013-03-13","2013-03-13","46.86","117.85","1485","Whitman","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","4"
"300202","Harrington","Tier 1","This station was made possible through the generous financial support provided by the Washington Grain Commission.","2013-04-18","2013-04-18","47.39","118.29","2170","Lincoln","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"300203","Peshastin","Tier 1","WSU AgWeatherNet","2013-05-07","2013-05-07","47.56","120.59","1075","Chelan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"300205","Hartline","Tier 1","This station was made possible through the generous financial support provided by the Washington Grain Commission.","2013-10-10","2013-10-10","47.64","119.15","1840","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"300206","Garfield.E","Tier 1","This station was made possible through the generous financial support provided by the Washington Grain Commission.","2013-10-24","2013-10-24","47.00","117.06","2786","Whitman","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","4"
"300207","Stevenson","Tier 1","WSU AgWeatherNet","2013-11-26","2013-11-26","45.68","121.90","100","Skamania","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","1"
"300208","Dayton.NE","Tier 1","WSU AgWeatherNet","2014-01-16","2014-01-16","46.38","117.87","2295","Columbia","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","4"
"300209","Granger","Tier 1","This station was made possible through the generous financial support provided by Monson Fruit Company.","2014-04-09","2014-04-11","46.38","120.19","860","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"300210","PhinnyHill","Tier 1","This station was made possible through the generous financial support provided by Quilceda Creek Vintners Inc.","2014-09-24","2014-10-01","45.90","119.90","646","Klickitat","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"300212","Vantage","Tier 1","This station was made possible through the generous financial support provided by Auvil Fruit Company.","2014-11-04","2014-11-04","46.82","119.94","530","Kittitas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"300213","Grayland","Tier 1","WSDA; Pacific Coast Cranberry Research Foundation; and Grayland Cranberry Growers Association","2014-11-19","2014-11-20","46.79","124.08","21","Grays Harbor","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","1"
"300214","Langley","Tier 1","This station is made possible through the generous financial support provided by multiple community partners The Lighthouse Environmental Programs; Puget Sound Energy; Island County Public Works; and Washington State University Extension-Island County.  The location of the station is dedicated by the John and Mollie Petersons family in honor of Mollies father; Robert King Fankhauser; a meteorologist.","2014-12-17","2014-12-17","48.00","122.43","166","Island","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","1"
"300215","Wallula.SW","Tier 1","This station was made possible through the generous financial support provided by Quilceda Creek Vintners Inc.","2015-01-22","2015-01-23","45.98","119.03","552","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"300216","Dayton.NW","Tier 1","This station is made possible through the generous financial support provided by USDA-ARS Long-Term Agroecosystem Research LTAR Network and the US Dry Pea and Lentil Council.","2015-03-04","2015-03-04","46.39","118.05","2080","Columbia","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","4"
"300218","Azwell","Tier 1","This station is made possible through the generous financial support provided by Zirkle Fruit Company.","2015-04-01","2015-04-02","47.93","119.88","810","Okanogan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"300219","Addy","Tier 1","WSU AgWeatherNet","2015-04-08","2015-04-23","48.32","117.83","1707","Stevens","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"300220","Chimacum","Tier 1","WSU AgWeatherNet","2015-04-16","2015-04-17","48.01","122.77","164","Jefferson","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","1"
"300222","Prescott.N","Tier 1","This station was made possible through the generous financial support provided by Northwest Grain Growers.","2015-09-26","2015-08-26","46.34","118.32","1926","Walla Walla","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","4"
"300253","Red.Mtn.N","Tier 1","WSU AgWeatherNet","2015-09-30","2015-10-01","46.30","119.44","1145","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"300254","Red.Mtn.S","Tier 1","WSU AgWeatherNet","2016-03-16","2016-03-16","46.28","119.42","750","Benton","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"300401","Craigmont","Tier 1","WSU AgWeatherNet","2016-03-09","2016-03-09","46.22","116.42","3645","Lewis","ID","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","4"
"309001","Curlew","Tier 1","WSU AgWeatherNet","2017-06-13","2017-06-14","48.86","118.61","1879","Ferry","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"310022","Montesano","Tier 1","WSU AgWeatherNet","2008-07-18","2008-07-18","46.98","123.49","27","Grays Harbor","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"310023","Roosevelt","Tier 1","WSU AgWeatherNet","2008-02-08","2008-02-08","45.74","120.24","400","Klickitat","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310024","Moxee.E","Tier 1","WSU AgWeatherNet","2008-03-03","2008-03-07","46.55","120.30","1313","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310025","Maryhill","Tier 1","WSU AgWeatherNet","2008-02-27","2008-02-27","45.67","120.87","680","Klickitat","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"310026","Vancouver","Tier 1","WSU AgWeatherNet","2008-07-15","2008-07-16","45.68","122.65","232","Clark","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","1"
"310027","Konnowac","Tier 1","WSU AgWeatherNet","2008-03-26","2008-03-26","46.47","120.38","868","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310029","Husum","Tier 1","This station is made possible through the generous financial support provided by Mt Adams Orchards.","2015-06-10","2015-06-11","45.86","121.49","1324","Klickitat","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","1"
"310031","Toppenish","Tier 1","WSU AgWeatherNet","2008-11-14","2008-11-14","46.37","120.39","784","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","3"
"310032","Underwood","Tier 1","WSU AgWeatherNet","2008-11-26","2008-11-26","45.74","121.56","1300","Skamania","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"310077","McKinley","Tier 1","WSU AgWeatherNet","2002-07-23","2008-01-01","46.01","119.92","1081","Klickitat","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310089","Mabton.E","Tier 1","WSU AgWeatherNet","2008-12-02","2008-12-02","46.20","119.93","690","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","3"
"310102","Puyallup","Tier 1","WSU AgWeatherNet","1995-06-01","2003-01-01","47.19","122.33","34","Pierce","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","1"
"310107","Alderdale","Tier 1","WSU AgWeatherNet","2005-01-12","2008-01-01","45.89","119.89","614","Klickitat","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310111","Gleed","Tier 1","WSU AgWeatherNet","1994-05-18","2008-01-01","46.70","120.62","1895","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310112","Ahtanum","Tier 1","WSU AgWeatherNet","1998-04-10","2008-06-10","46.55","120.71","1658","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310120","Sunside.S","Tier 1","WSU AgWeatherNet","1993-04-20","2007-01-01","46.28","120.01","679","Yakima","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","3"
"310121","Snipes.Mtn","Tier 1","This station was made possible through the generous financial support provided by the Washington State Wine Commission.","2014-03-27","2014-03-27","46.31","120.07","1250","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"310126","Naches","Tier 1","WSU AgWeatherNet","2005-05-27","2008-04-16","46.70","120.66","1369","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","3"
"310131","Wapato","Tier 1","WSU AgWeatherNet","1989-03-28","2008-06-16","46.44","120.53","840","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310132","Parker","Tier 1","WSU AgWeatherNet","1989-03-28","2008-01-01","46.52","120.48","943","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310135","Outlook","Tier 1","WSU AgWeatherNet","1998-03-30","2007-01-01","46.42","120.13","1280","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","3"
"310136","Sunside.N","Tier 1","WSU AgWeatherNet","1989-01-08","1989-01-01","46.39","120.00","1081","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","3"
"310137","Cowiche","Tier 1","WSU AgWeatherNet","1989-03-28","2009-01-01","46.66","120.70","1630","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310138","Buena","Tier 1","WSU AgWeatherNet","1989-01-08","2009-01-01","46.44","120.29","884","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
