Date,Date,Min°F,Avg°F,Max°F,Avg1.5m DP°F,Avg1.5m RH%,Avg1.5m LWu.,AvgDir,Avg Speedmph,2m MaxGustmph,2 in.°F,Min°F,Avg°F,TotPrecin,TotalSolarRadMJ/m²,EToin,ETrin
7/23/2021,23,52.2,72.8,90.7,40.3,35.5,0.02,NW,3.9,13.5,NA,85.2,88.3,0,28.01,0.26,0.34
7/24/2021,24,58.1,77.9,95.2,46.1,37,0.02,NW,3.8,9.9,NA,86,89.1,0,27.86,0.27,0.36
7/25/2021,25,60.3,81,99.1,47.4,35.4,0.02,NW,3.5,11.7,NA,87,90.1,0,27.89,0.27,0.36
7/26/2021,26,59.9,77.6,93.8,49.1,39.8,0.03,NW,3.9,11.7,NA,87.8,90.3,0,22.13,0.24,0.32
7/27/2021,27,64.2,73,81.4,54.3,52.8,0.07,NE,3.1,13.5,NA,86.6,88.1,0,6.54,0.11,0.15
7/28/2021,28,59.7,78.6,95,51.8,45.2,0.02,N,3.6,11.7,NA,83.5,86.4,0,24.67,0.24,0.32
7/29/2021,29,61.6,82.9,99.7,51.1,36.7,0,N,3.8,13.5,NA,86,88.9,0,25.63,0.27,0.36
7/30/2021,30,67.4,84.2,100.3,57.4,41.4,0,W,4,11.7,NA,87.8,90.3,0,22.15,0.26,0.34
7/31/2021,31,73.2,84,96.1,58.5,43,0.03,W,3.9,20.7,NA,88.9,90.4,0,11.99,0.19,0.27
8/1/2021,1,72.9,81.2,91.4,63,55.7,0.04,NE,3.7,13.5,NA,87.9,89.3,0.02,14.76,0.18,0.24
8/2/2021,2,68.2,82.7,98,60.1,49.7,0,NW,3.3,9.9,NA,86.7,89.1,0,21.9,0.23,0.29
8/3/2021,3,66.2,82.5,99.9,57,45.7,0,N,3.5,13.5,NA,87.5,89.9,0,22.05,0.24,0.32
8/4/2021,4,67,82.4,98.3,56.2,44.5,0,NW,3.5,9.9,NA,87.5,90.2,0,23.49,0.24,0.32
8/5/2021,5,63.5,78.3,90.6,56.3,48.5,0,W,3.9,15.3,NA,87.9,89.9,0,14.6,0.18,0.25
8/6/2021,6,60.9,75.5,90.5,53,48.3,0,W,3.8,18.9,NA,86.2,88.7,0,21.89,0.22,0.28
8/7/2021,7,59.1,75.2,91.6,53.3,49.8,0.01,W,5.1,22.5,NA,85.8,88.7,0,25.74,0.26,0.34
8/8/2021,8,57.9,68.9,79.1,42.9,40.9,0,W,6.2,22.5,NA,86.2,88.7,0,25.61,0.24,0.33
8/9/2021,9,51.7,68.4,84.9,45,48.1,0.02,NW,3.8,9.9,NA,84.1,87,0,25.62,0.22,0.28
8/10/2021,10,57.3,75.2,93.2,50.7,45.6,0,NW,3.5,9.9,NA,84,86.7,0,23.66,0.22,0.29
8/11/2021,11,62.6,82.8,102.8,54.2,42.2,0.01,NW,3.8,9.9,NA,85.5,88.4,0,24.46,0.27,0.36
8/12/2021,12,68.4,82.4,99.7,52.9,40.7,0,NW,4.1,15.3,NA,87.3,89.6,0,19.01,0.24,0.34
8/13/2021,13,64.9,79.1,95.2,52.1,41.6,0,NW,3.2,8.2,NA,86.2,88.4,0,16.83,0.2,0.27
8/14/2021,14,63.5,81.2,100.3,55.4,44.4,0,NW,3.5,9.9,NA,85.6,88,0,18.41,0.22,0.3
8/15/2021,15,66.8,82.3,102.5,53.9,41,0,NE,3.2,11.7,NA,86.3,88.6,0,20.55,0.23,0.31
8/16/2021,16,62.6,79.4,97.9,48.2,37,0,W,4,18.9,NA,86,88.8,0,23.58,0.25,0.35
8/17/2021,17,59.5,67,75.8,47.1,50.5,0.05,W,6,22.5,NA,85.9,87.9,0.02,15.86,0.18,0.25
