"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin","Avg2m Atm.PressinHg"
"2023/05/11","11","45.2","64.5","79.9","40.0","48.5","0.05","N","2.9","12.4","NA","69.2","70.8","0.00","26.54","0.19","0.24","30.08"
"2023/05/12","12","45.4","67.2","85.8","42.9","48.1","0.03","N","4.3","15.3","NA","70.5","72.1","0.00","26.81","0.23","0.31","30.19"
"2023/05/13","13","52.3","73.2","89.7","42.2","39.2","0.01","NE","7.0","26.4","NA","72.0","73.5","0.00","27.09","0.30","0.43","30.19"
"2023/05/14","14","61.6","77.4","91.4","43.9","32.5","0.00","NE","4.9","16.4","NA","73.6","75.0","0.00","26.04","0.27","0.38","30.04"
"2023/05/15","15","63.5","77.5","89.0","50.4","41.0","0.01","SE","4.0","13.5","NA","75.6","76.7","0.00","21.32","0.22","0.30","30.00"
"2023/05/16","16","66.8","73.3","82.2","56.1","56.0","0.02","W","6.3","18.9","NA","76.5","77.6","0.00","20.28","0.22","0.29","30.04"
"2023/05/17","17","56.6","72.7","85.5","56.8","62.8","0.22","NW","2.7","10.7","NA","76.1","77.4","0.00","23.30","0.19","0.22","29.96"
"2023/05/18","18","57.0","76.1","91.9","56.9","57.1","0.05","NW","2.9","11.4","NA","76.8","78.2","0.00","23.86","0.21","0.26","29.91"
"2023/05/19","19","61.0","79.9","95.5","55.0","48.5","0.01","NE","3.0","23.5","NA","78.2","79.5","0.00","25.14","0.23","0.30","29.98"
"2023/05/20","20","65.2","83.6","97.1","53.2","37.6","0.00","S","4.8","35.3","NA","79.8","81.1","0.00","26.55","0.29","0.39","29.96"
"2023/05/21","21","58.5","75.5","84.6","49.5","41.4","0.00","SW","8.1","26.0","NA","81.5","82.4","0.00","22.54","0.26","0.37","29.95"
"2023/05/22","22","51.1","62.7","72.4","38.0","42.1","0.00","SW","9.9","23.2","NA","79.2","80.5","0.00","28.05","0.25","0.36","30.05"
"2023/05/23","23","49.8","62.7","73.7","37.5","41.5","0.00","S","4.8","14.2","NA","77.2","78.6","0.00","28.30","0.22","0.28","30.02"
"2023/05/24","24","48.2","66.2","78.9","39.0","41.1","0.01","N","3.2","15.7","NA","77.0","78.4","0.00","27.93","0.21","0.26","29.95"
"2023/05/25","25","51.4","67.9","80.8","43.9","45.3","0.01","N","5.1","16.0","NA","77.6","78.8","0.00","25.88","0.23","0.30","29.89"
"2023/05/26","26","53.5","68.9","81.4","46.3","47.4","0.01","W","3.3","15.0","NA","77.6","78.7","0.00","21.48","0.19","0.24","29.88"
"2023/05/27","27","59.8","72.5","85.0","49.6","46.4","0.00","S","5.1","19.2","NA","77.6","78.7","0.00","24.57","0.24","0.32","29.84"
"2023/05/28","28","59.0","74.0","87.8","46.0","42.9","0.03","S","4.3","15.7","NA","78.4","79.6","0.00","27.70","0.26","0.34","29.86"
"2023/05/29","29","54.8","74.9","89.1","43.3","35.3","0.04","SW","4.6","13.9","NA","79.2","80.4","0.00","28.25","0.27","0.36","29.79"
"2023/05/30","30","61.1","72.7","85.9","40.5","34.0","0.00","SW","5.0","17.1","NA","80.1","81.2","0.00","28.26","0.27","0.37","29.80"
"2023/05/31","31","53.8","65.2","78.2","37.6","38.3","0.00","SW","6.1","15.7","NA","79.9","81.1","0.00","28.62","0.26","0.35","29.88"
