"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","Avg1.5m LWu.","AvgDir","Avg Speedmph","2m MaxGustmph","2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin","Avg2m Atm.PressinHg"
"2023/08/17","17","65.5","85.4","101.6","53.5","39.0","0.07","SW","4.5","22.5","NA","NA","NA","0.00","15.23","0.24","0.34","29.73"
"2023/08/18","18","72.6","84.4","97.1","39.1","24.3","0.00","W","7.0","17.8","NA","NA","NA","0.00","23.23","0.34","0.51","29.73"
"2023/08/19","19","55.9","70.9","85.6","40.4","36.4","0.00","N","4.4","13.9","NA","NA","NA","0.00","16.14","0.20","0.28","29.91"
"2023/08/20","20","55.0","69.0","81.5","44.6","44.1","0.01","NE","2.7","10.7","NA","85.3","85.4","0.00","12.38","0.14","0.18","29.86"
"2023/08/21","21","61.9","71.2","80.6","50.6","51.4","0.08","SE","2.2","8.5","NA","83.8","84.5","0.00","8.17","0.11","0.14","29.77"
"2023/08/22","22","63.9","69.0","75.1","51.7","54.8","0.08","S","6.5","18.5","NA","82.2","83.1","0.00","7.30","0.14","0.21","29.93"
"2023/08/23","23","56.9","69.6","81.9","43.1","41.6","0.01","SW","4.4","15.3","NA","80.5","81.3","0.00","22.26","0.20","0.28","30.06"
"2023/08/24","24","49.7","68.0","84.7","48.3","53.3","0.19","N","4.7","15.7","NA","80.7","81.5","0.00","21.58","0.20","0.27","30.04"
"2023/08/25","25","65.9","72.3","83.0","53.5","52.7","0.09","NW","4.6","16.7","NA","81.2","81.7","0.00","14.65","0.17","0.24","30.02"
"2023/08/26","26","59.1","74.4","90.3","56.8","57.8","0.01","NW","3.8","14.6","NA","80.9","81.6","0.00","15.60","0.17","0.23","30.00"
"2023/08/27","27","59.2","77.8","97.2","58.1","56.8","0.08","N","2.5","9.2","NA","81.4","82.2","0.00","21.42","0.19","0.24","29.98"
"2023/08/28","28","61.5","80.6","102.6","53.6","44.1","0.00","N","3.5","15.0","NA","83.0","83.6","0.00","21.40","0.23","0.32","29.91"
"2023/08/29","29","67.4","73.6","83.2","52.5","48.9","0.00","SW","9.0","22.1","NA","83.8","84.4","0.00","10.59","0.22","0.34","29.87"
"2023/08/30","30","65.0","73.0","83.3","48.1","42.9","0.00","SW","8.4","19.2","NA","82.1","82.9","0.00","17.74","0.25","0.37","29.99"
