"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2023/08/10","10","56.4","68.9","80.5","51.1","55.0","79.5","76.0","79.0","NA","Too Dry/NA","0.00","25.94","0.21","0.28"
"2023/08/11","11","52.9","68.9","82.6","52.3","58.1","80.0","75.9","79.2","NA","Too Dry/NA","0.00","25.90","0.21","0.26"
"2023/08/12","12","57.0","73.1","87.3","52.0","49.7","80.5","76.6","79.7","NA","Too Dry/NA","0.00","23.69","0.22","0.29"
"2023/08/13","13","58.9","74.9","88.9","55.5","53.6","81.6","77.5","80.4","NA","Too Dry/NA","0.00","24.81","0.25","0.34"
"2023/08/14","14","59.4","78.2","94.5","58.5","53.2","83.1","78.3","81.5","NA","-1691.0","0.00","24.94","0.25","0.33"
"2023/08/15","15","64.2","82.4","100.0","58.7","47.2","85.3","80.2","83.5","NA","-1606.4","0.00","24.77","0.26","0.34"
"2023/08/16","16","65.3","82.3","97.4","56.3","42.7","85.3","81.9","84.6","NA","-1563.7","0.00","21.65","0.22","0.29"
"2023/08/17","17","67.5","80.2","94.1","57.0","45.8","84.3","81.9","84.4","NA","-1508.7","0.00","16.78","0.21","0.29"
"2023/08/18","18","59.0","75.1","88.0","48.3","43.0","83.1","81.5","83.5","NA","-1484.7","0.00","24.95","0.28","0.40"
"2023/08/19","19","48.0","64.3","79.5","43.0","48.6","78.2","78.1","80.2","NA","-1531.8","0.00","18.20","0.21","0.30"
"2023/08/20","20","50.7","64.7","78.1","46.9","54.2","75.6","75.6","77.4","NA","-1588.2","0.00","15.75","0.17","0.24"
"2023/08/21","21","57.3","66.8","76.9","51.8","59.6","75.2","75.4","76.8","NA","-1589.0","0.00","10.77","0.14","0.19"
"2023/08/22","22","56.0","62.9","69.0","54.3","74.3","74.0","74.0","75.4","NA","-1581.9","0.02","10.06","0.11","0.14"
"2023/08/23","23","49.0","61.8","74.2","46.8","61.1","73.1","70.9","73.6","NA","-1593.1","0.00","23.24","0.17","0.22"
"2023/08/24","24","51.4","65.3","78.9","47.5","55.5","74.3","72.3","74.6","NA","-1524.1","0.00","22.45","0.20","0.28"
"2023/08/25","25","57.5","66.8","80.1","52.3","60.6","74.5","73.4","74.8","NA","-1520.0","0.00","14.07","0.17","0.24"
"2023/08/26","26","54.1","71.0","92.2","55.7","62.5","75.9","73.2","75.5","NA","-1461.3","0.00","19.25","0.23","0.34"
"2023/08/27","27","58.7","76.3","92.4","55.2","50.6","78.4","75.2","77.8","NA","-1385.0","0.00","22.18","0.22","0.30"
"2023/08/28","28","59.2","78.5","98.9","49.2","40.2","79.9","77.0","79.3","NA","-1336.8","0.00","22.08","0.31","0.45"
"2023/08/29","29","61.7","66.6","78.1","54.0","65.7","76.8","77.0","78.7","NA","-1338.3","0.00","7.77","0.15","0.22"
"2023/08/30","30","55.0","65.6","78.4","49.4","58.8","74.7","73.9","75.7","NA","-1366.1","0.00","19.15","0.20","0.28"
