"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2023/07/18","18","50.1","69.6","85.5","45.5","47.2","89.4","84.2","86.6","NA","Too Dry/NA","0.00","29.79","0.25","0.32"
"2023/07/19","19","52.7","74.7","94.9","47.7","43.8","90.2","83.9","86.4","NA","Too Dry/NA","0.00","29.41","0.29","0.39"
"2023/07/20","20","59.7","79.9","98.9","50.3","40.5","92.2","84.9","87.1","NA","Too Dry/NA","0.00","27.70","0.29","0.38"
"2023/07/21","21","61.4","81.1","98.2","53.3","43.5","94.2","86.0","88.2","NA","Too Dry/NA","0.00","29.12","0.30","0.40"
"2023/07/22","22","55.9","76.8","94.2","48.7","42.1","93.2","86.2","88.6","NA","Too Dry/NA","0.00","28.87","0.28","0.37"
"2023/07/23","23","57.9","78.5","96.3","52.5","45.8","93.8","86.5","88.9","NA","Too Dry/NA","0.00","28.56","0.27","0.35"
"2023/07/24","24","59.3","74.0","89.2","50.2","45.5","92.1","86.9","88.9","NA","Too Dry/NA","0.00","23.85","0.26","0.36"
"2023/07/25","25","56.7","71.7","83.8","49.0","48.3","89.9","85.3","87.4","NA","Too Dry/NA","0.00","28.79","0.25","0.33"
"2023/07/26","26","49.7","67.9","84.3","44.7","48.9","89.1","84.4","86.7","NA","Too Dry/NA","0.00","28.92","0.24","0.31"
"2023/07/27","27","53.4","72.2","88.1","44.7","42.8","90.2","84.4","86.6","NA","Too Dry/NA","0.00","28.05","0.25","0.33"
"2023/07/28","28","54.2","72.4","89.7","48.0","48.3","90.6","84.4","86.7","NA","Too Dry/NA","0.00","28.10","0.25","0.32"
"2023/07/29","29","57.2","74.7","92.1","47.4","42.3","91.3","84.9","87.1","NA","Too Dry/NA","0.00","26.88","0.26","0.35"
"2023/07/30","30","54.1","72.1","87.9","47.3","46.2","90.4","85.1","87.1","NA","Too Dry/NA","0.00","26.14","0.25","0.33"
"2023/07/31","31","49.5","70.0","89.3","45.0","46.4","89.4","84.0","86.4","NA","Too Dry/NA","0.00","28.18","0.25","0.34"
"2023/08/01","1","50.9","71.2","91.7","45.1","44.8","89.8","84.0","86.3","NA","Too Dry/NA","0.00","28.35","0.26","0.34"
"2023/08/02","2","55.2","74.5","93.8","45.3","42.3","90.8","84.5","86.7","NA","Too Dry/NA","0.00","27.69","0.27","0.36"
"2023/08/03","3","56.9","75.9","92.6","46.6","40.8","91.6","85.1","87.2","NA","Too Dry/NA","0.00","26.86","0.26","0.34"
"2023/08/04","4","57.1","71.1","80.9","52.5","53.1","86.2","85.1","86.6","NA","Too Dry/NA","0.00","7.71","0.13","0.18"
"2023/08/05","5","64.7","70.6","81.9","59.9","70.6","82.5","82.0","83.2","NA","Too Dry/NA","0.08","12.21","0.15","0.20"
"2023/08/06","6","64.6","72.4","85.0","61.3","70.9","82.8","80.7","81.9","NA","Too Dry/NA","0.03","17.05","0.16","0.21"
"2023/08/07","7","61.9","69.6","80.5","60.0","72.6","82.1","80.2","81.5","NA","Too Dry/NA","0.00","14.85","0.14","0.18"
"2023/08/08","8","56.9","72.9","89.6","53.3","57.2","84.8","79.5","81.5","NA","Too Dry/NA","0.00","25.85","0.22","0.29"
"2023/08/09","9","59.2","72.9","88.2","52.9","53.6","86.4","81.1","83.0","NA","Too Dry/NA","0.00","22.28","0.22","0.30"
